Season,Competition,GameWeek,Kick Off Time,Home Team Name,Home Team Abbr,Home Team ID,Away Team Name,Away Team Abbr,Away Team Id,Home Score,Away Score,HT Home Score,HT Away Team,Outcome,Stadium,Location,Stadium Id,Attendance,Referee,Referee Id
2015/16,Premier League,6,"Sat 19 Sep 2015, 15:00 BST",AFC Bournemouth,BOU,127,Sunderland,SUN,29,2,0,2,0,H,Vitality Stadium,Bournemouth,215,11271,Kevin Friend,14039
2015/16,Premier League,8,"Sat 3 Oct 2015, 15:00 BST",AFC Bournemouth,BOU,127,Watford,WAT,33,1,1,1,1,D,Vitality Stadium,Bournemouth,215,11187,Michael Oliver,13895
2015/16,Premier League,12,"Sat 7 Nov 2015, 12:45 GMT",AFC Bournemouth,BOU,127,Newcastle United,NEW,23,0,1,0,1,A,Vitality Stadium,Bournemouth,215,11155,Lee Mason,14867
2015/16,Premier League,18,"Sat 26 Dec 2015, 15:00 GMT",AFC Bournemouth,BOU,127,Crystal Palace,CRY,6,0,0,0,0,D,Vitality Stadium,Bournemouth,215,11218,Michael Oliver,14367
2015/16,Premier League,32,"Sat 2 Apr 2016, 15:00 BST",AFC Bournemouth,BOU,127,Manchester City,MCI,11,0,4,0,3,A,Vitality Stadium,Bournemouth,215,11192,Robert Madley,11832
2016/17,Premier League,4,"Sat 10 Sep 2016, 15:00 BST",AFC Bournemouth,BOU,127,West Bromwich Albion,WBA,36,1,0,0,0,H,Vitality Stadium,Bournemouth,215,11184,Kevin Friend,17932
2015/16,Premier League,1,"Sat 8 Aug 2015, 15:00 BST",Bournemouth,BOU,127,Aston Villa,AVL,2,0,1,0,0,A,Vitality Stadium,Bournemouth,215,11155,Mark Clattenburg,13156
2015/16,Premier League,4,"Sat 29 Aug 2015, 15:00 BST",Bournemouth,BOU,127,Leicester City,LEI,26,1,1,1,0,D,Vitality Stadium,Bournemouth,215,11155,Neil Swarbrick,14123
2015/16,Premier League,10,"Sun 25 Oct 2015, 14:05 GMT",Bournemouth,BOU,127,Tottenham Hotspur,TOT,21,1,5,1,3,A,Vitality Stadium,Bournemouth,215,11332,Roger East,13823
2015/16,Premier League,14,"Sat 28 Nov 2015, 15:00 GMT",Bournemouth,BOU,127,Everton,EVE,7,3,3,0,2,D,Vitality Stadium,Bournemouth,215,11228,Kevin Friend,14731
2015/16,Premier League,16,"Sat 12 Dec 2015, 17:30 GMT",Bournemouth,BOU,127,Manchester United,MUN,12,2,1,1,1,H,Vitality Stadium,Bournemouth,215,11334,Anthony Taylor,14507
2015/16,Premier League,21,"Tue 12 Jan 2016, 19:45 GMT",Bournemouth,BOU,127,West Ham United,WHU,25,1,3,1,0,A,Vitality Stadium,Bournemouth,215,11071,Martin Atkinson,14255
2015/16,Premier League,22,"Sat 16 Jan 2016, 15:00 GMT",Bournemouth,BOU,127,Norwich City,NOR,14,3,0,1,0,H,Vitality Stadium,Bournemouth,215,11065,Robert Madley,14919
2015/16,Premier League,25,"Sun 7 Feb 2016, 13:30 GMT",Bournemouth,BOU,127,Arsenal,ARS,1,0,2,0,2,A,Vitality Stadium,Bournemouth,215,11357,Kevin Friend,11624
2015/16,Premier League,26,"Sat 13 Feb 2016, 15:00 GMT",Bournemouth,BOU,127,Stoke City,STK,42,1,3,0,1,A,Vitality Stadium,Bournemouth,215,10863,Graham Scott,11608
2015/16,Premier League,28,"Tue 1 Mar 2016, 19:45 GMT",Bournemouth,BOU,127,Southampton,SOU,20,2,0,1,0,H,Vitality Stadium,Bournemouth,215,11033,Mike Dean,11468
2015/16,Premier League,30,"Sat 12 Mar 2016, 15:00 GMT",Bournemouth,BOU,127,Swansea City,SWA,45,3,2,1,1,H,Vitality Stadium,Bournemouth,215,11179,Roger East,11344
2015/16,Premier League,34,"Sun 17 Apr 2016, 13:30 BST",Bournemouth,BOU,127,Liverpool,LIV,10,1,2,0,2,A,Vitality Stadium,Bournemouth,215,11386,Mike Jones,11768
2015/16,Premier League,35,"Sat 23 Apr 2016, 15:00 BST",Bournemouth,BOU,127,Chelsea,CHE,4,1,4,1,2,A,Vitality Stadium,Bournemouth,215,11365,Roger East,12464
2015/16,Premier League,37,"Sat 7 May 2016, 15:00 BST",Bournemouth,BOU,127,West Bromwich Albion,WBA,36,1,1,0,1,D,Vitality Stadium,Bournemouth,215,11040,Mark Clattenburg,12196
2016/17,Premier League,1,"Sun 14 Aug 2016, 13:30 BST",Bournemouth,BOU,127,Manchester United,MUN,12,1,3,0,1,A,Vitality Stadium,Bournemouth,215,11355,Andre Marriner,17720
2016/17,Premier League,6,"Sat 24 Sep 2016, 15:00 BST",Bournemouth,BOU,127,Everton,EVE,7,1,0,1,0,H,Vitality Stadium,Bournemouth,215,11291,Robert Madley,18228
2016/17,Premier League,8,"Sat 15 Oct 2016, 15:00 BST",Bournemouth,BOU,127,Hull City,HUL,41,6,1,3,1,H,Vitality Stadium,Bournemouth,215,11029,Lee Mason,18472
2016/17,Premier League,9,"Sat 22 Oct 2016, 12:30 BST",Bournemouth,BOU,127,Tottenham Hotspur,TOT,21,0,0,0,0,D,Vitality Stadium,Bournemouth,215,11201,Craig Pawson,18656
2016/17,Premier League,11,"Sat 5 Nov 2016, 15:00 GMT",Bournemouth,BOU,127,Sunderland,SUN,29,1,2,1,1,A,Vitality Stadium,Bournemouth,215,11084,Mike Dean,18958
2016/17,Premier League,14,"Sun 4 Dec 2016, 13:30 GMT",Bournemouth,BOU,127,Liverpool,LIV,10,4,3,0,2,H,Vitality Stadium,Bournemouth,215,11183,Robert Madley,19524
